Sample_ID,Class_Code,Label,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
1,000,Class_0,1,0,0,0,0,0,0,0
2,000,Class_0,1,0,0,0,0,0,0,0
3,000,Class_0,1,0,0,0,0,0,0,0
4,000,Class_0,1,0,0,0,0,0,0,0
5,000,Class_0,1,0,0,0,0,0,0,0
6,000,Class_0,1,0,0,0,0,0,0,0
7,000,Class_0,1,0,0,0,0,0,0,0
8,000,Class_0,1,0,0,0,0,0,0,0
9,000,Class_0,1,0,0,0,0,0,0,0
10,000,Class_0,1,0,0,0,0,0,0,0
11,001,Class_1,0,1,0,0,0,0,0,0
12,001,Class_1,0,1,0,0,0,0,0,0
13,001,Class_1,0,1,0,0,0,0,0,0
14,001,Class_1,0,1,0,0,0,0,0,0
15,001,Class_1,0,1,0,0,0,0,0,0
16,001,Class_1,0,1,0,0,0,0,0,0
17,001,Class_1,0,1,0,0,0,0,0,0
18,001,Class_1,0,1,0,0,0,0,0,0
19,001,Class_1,0,1,0,0,0,0,0,0
20,001,Class_1,0,1,0,0,0,0,0,0
21,010,Class_2,0,0,1,0,0,0,0,0
22,010,Class_2,0,0,1,0,0,0,0,0
23,010,Class_2,0,0,1,0,0,0,0,0
24,010,Class_2,0,0,1,0,0,0,0,0
25,010,Class_2,0,0,1,0,0,0,0,0
26,010,Class_2,0,0,1,0,0,0,0,0
27,010,Class_2,0,0,1,0,0,0,0,0
28,010,Class_2,0,0,1,0,0,0,0,0
29,010,Class_2,0,0,1,0,0,0,0,0
30,010,Class_2,0,0,1,0,0,0,0,0
31,011,Class_3,0,0,0,1,0,0,0,0
32,011,Class_3,0,0,0,1,0,0,0,0
33,011,Class_3,0,0,0,1,0,0,0,0
34,011,Class_3,0,0,0,1,0,0,0,0
35,011,Class_3,0,0,0,1,0,0,0,0
36,011,Class_3,0,0,0,1,0,0,0,0
37,011,Class_3,0,0,0,1,0,0,0,0
38,011,Class_3,0,0,0,1,0,0,0,0
39,011,Class_3,0,0,0,1,0,0,0,0
40,011,Class_3,0,0,0,1,0,0,0,0
41,100,Class_4,0,0,0,0,1,0,0,0
42,100,Class_4,0,0,0,0,1,0,0,0
43,100,Class_4,0,0,0,0,1,0,0,0
44,100,Class_4,0,0,0,0,1,0,0,0
45,100,Class_4,0,0,0,0,1,0,0,0
46,100,Class_4,0,0,0,0,1,0,0,0
47,100,Class_4,0,0,0,0,1,0,0,0
48,100,Class_4,0,0,0,0,1,0,0,0
49,100,Class_4,0,0,0,0,1,0,0,0
50,100,Class_4,0,0,0,0,1,0,0,0
51,101,Class_5,0,0,0,0,0,1,0,0
52,101,Class_5,0,0,0,0,0,1,0,0
53,101,Class_5,0,0,0,0,0,1,0,0
54,101,Class_5,0,0,0,0,0,1,0,0
55,101,Class_5,0,0,0,0,0,1,0,0
56,101,Class_5,0,0,0,0,0,1,0,0
57,101,Class_5,0,0,0,0,0,1,0,0
58,101,Class_5,0,0,0,0,0,1,0,0
59,101,Class_5,0,0,0,0,0,1,0,0
60,101,Class_5,0,0,0,0,0,1,0,0
61,110,Class_6,0,0,0,0,0,0,1,0
62,110,Class_6,0,0,0,0,0,0,1,0
63,110,Class_6,0,0,0,0,0,0,1,0
64,110,Class_6,0,0,0,0,0,0,1,0
65,110,Class_6,0,0,0,0,0,0,1,0
66,110,Class_6,0,0,0,0,0,0,1,0
67,110,Class_6,0,0,0,0,0,0,1,0
68,110,Class_6,0,0,0,0,0,0,1,0
69,110,Class_6,0,0,0,0,0,0,1,0
70,110,Class_6,0,0,0,0,0,0,1,0
71,111,Class_7,0,0,0,0,0,0,0,1
72,111,Class_7,0,0,0,0,0,0,0,1
73,111,Class_7,0,0,0,0,0,0,0,1
74,111,Class_7,0,0,0,0,0,0,0,1
75,111,Class_7,0,0,0,0,0,0,0,1
76,111,Class_7,0,0,0,0,0,0,0,1
77,111,Class_7,0,0,0,0,0,0,0,1
78,111,Class_7,0,0,0,0,0,0,0,1
79,111,Class_7,0,0,0,0,0,0,0,1
80,111,Class_7,0,0,0,0,0,0,0,1
